experiment,vix_floor,vix_ceiling,base_stop,hv_scale,mc_p5_dd,hedged_sharpe,annual_return_pct,passes_30pct
EXP-400,14.0,42.0,3.0,0.15,-12.86,2.91,26.47,True
EXP-400,14.0,42.0,3.0,0.25,-12.86,2.889,26.36,True
EXP-400,14.0,42.0,3.5,0.15,-12.86,2.91,26.47,True
EXP-400,14.0,42.0,3.5,0.25,-12.86,2.889,26.36,True
EXP-400,12.0,46.0,1.5,0.05,-13.2,2.847,24.72,True
EXP-400,12.0,46.0,2.0,0.05,-13.2,2.847,24.72,True
EXP-400,12.0,46.0,2.5,0.05,-13.2,2.847,24.72,True
EXP-400,12.0,46.0,3.0,0.05,-13.2,2.847,24.72,True
EXP-400,12.0,46.0,3.5,0.05,-13.2,2.847,24.72,True
EXP-400,12.0,46.0,1.5,0.1,-13.26,2.836,24.58,True
EXP-400,12.0,46.0,2.0,0.1,-13.26,2.836,24.58,True
EXP-400,12.0,46.0,2.5,0.1,-13.26,2.836,24.58,True
EXP-400,12.0,46.0,3.0,0.1,-13.26,2.836,24.58,True
EXP-400,12.0,46.0,3.5,0.1,-13.26,2.836,24.58,True
EXP-400,12.0,46.0,1.5,0.15,-13.3,2.801,24.41,True
EXP-400,12.0,46.0,2.0,0.15,-13.3,2.801,24.41,True
EXP-400,12.0,46.0,2.5,0.15,-13.3,2.801,24.41,True
EXP-400,12.0,46.0,3.0,0.15,-13.3,2.801,24.41,True
EXP-400,12.0,46.0,3.5,0.15,-13.3,2.801,24.41,True
EXP-400,12.0,46.0,1.5,0.25,-13.32,2.746,24.15,True
EXP-400,12.0,46.0,2.0,0.25,-13.32,2.746,24.15,True
EXP-400,12.0,46.0,2.5,0.25,-13.32,2.746,24.15,True
EXP-400,12.0,46.0,3.0,0.25,-13.32,2.746,24.15,True
EXP-400,12.0,46.0,3.5,0.25,-13.32,2.746,24.15,True
EXP-400,18.0,38.0,1.5,0.05,-14.05,2.963,30.79,True
